=== MACD_ZERO_AXIS 策略筛选报告 ===
扫描时间: 2025-08-12 12:10:16
处理文件数: 8968
处理耗时: 1.87 秒
发现信号数: 376
历史信号总数: 2463
平均胜率: 43.3%
平均收益率: 20.1%
平均达峰天数: 17.6 天

=== 信号状态分布 ===
PRE: 123 个
MID: 126 个
POST: 127 个

=== 前10名表现最佳股票 ===
 1. sz300521 - 胜率: 100.0%, 收益: 99.5%, 天数: 18.0 天
 2. sz000652 - 胜率: 50.0%, 收益: 62.6%, 天数: 16.0 天
 3. sz002141 - 胜率: 66.7%, 收益: 54.4%, 天数: 21.2 天
 4. sz300546 - 胜率: 20.0%, 收益: 51.2%, 天数: 28.0 天
 5. sh688496 - 胜率: 66.7%, 收益: 51.1%, 天数: 16.5 天
 6. sz002580 - 胜率: 50.0%, 收益: 47.6%, 天数: 23.5 天
 7. sz002654 - 胜率: 42.9%, 收益: 47.3%, 天数: 17.3 天
 8. sh603799 - 胜率: 66.7%, 收益: 46.2%, 天数: 31.0 天
 9. sh600169 - 胜率: 100.0%, 收益: 45.6%, 天数: 15.0 天
10. sh603527 - 胜率: 83.3%, 收益: 45.4%, 天数: 16.6 天

=== 深度扫描结果 (多线程) ===
深度分析成功: 376/376
sh600778: 76.5分, ¥6.91, 信心度: 76.5%
sh601956: 73.1分, ¥7.07, 信心度: 73.1%
sh600621: 81.4分, ¥16.15, 信心度: 81.4%
sh688718: 71.2分, ¥15.25, 信心度: 71.2%
sh688199: 80.4分, ¥25.56, 信心度: 80.4%
sh603610: 82.0分, ¥13.09, 信心度: 82.0%
sh688181: 79.0分, ¥33.10, 信心度: 79.0%
sh600956: 73.9分, ¥8.18, 信心度: 73.9%
sh600266: 80.7分, ¥4.81, 信心度: 80.7%
sh603969: 82.3分, ¥8.94, 信心度: 82.3%
sh688779: 75.3分, ¥5.98, 信心度: 75.3%
sh600737: 81.9分, ¥10.38, 信心度: 81.9%
sh603556: 81.1分, ¥27.83, 信心度: 81.1%
sh603213: 81.9分, ¥13.95, 信心度: 81.9%
sh600906: 82.1分, ¥7.57, 信心度: 82.1%
sh600744: 75.3分, ¥7.47, 信心度: 75.3%
sh600605: 82.1分, ¥40.78, 信心度: 82.1%
sh600675: 81.6分, ¥3.06, 信心度: 81.6%
sh600973: 81.5分, ¥5.53, 信心度: 81.5%
sh600425: 82.0分, ¥4.85, 信心度: 82.0%
sh603227: 76.0分, ¥8.98, 信心度: 76.0%
sh688496: 74.0分, ¥10.06, 信心度: 74.0%
sh600673: 78.1分, ¥16.00, 信心度: 78.1%
sh600595: 83.2分, ¥5.34, 信心度: 83.2%
sh603101: 75.7分, ¥8.20, 信心度: 75.7%
sh603680: 82.3分, ¥13.88, 信心度: 82.3%
sh603617: 82.2分, ¥8.65, 信心度: 82.2%
sh603399: 72.8分, ¥10.91, 信心度: 72.8%
sh603717: 83.4分, ¥8.08, 信心度: 83.4%
sh603506: 77.2分, ¥14.05, 信心度: 77.2%
sh603838: 70.7分, ¥6.15, 信心度: 70.7%
sh603950: 80.5分, ¥25.20, 信心度: 80.5%
sh600383: 79.7分, ¥3.94, 信心度: 79.7%
sh603186: 73.8分, ¥35.07, 信心度: 73.8%
sh600408: 82.7分, ¥2.33, 信心度: 82.7%
sh600322: 81.7分, ¥3.00, 信心度: 81.7%
sh603285: 84.2分, ¥24.28, 信心度: 84.2%
sh601106: 81.6分, ¥3.05, 信心度: 81.6%
sh600683: 75.6分, ¥4.29, 信心度: 75.6%
sh600361: 81.1分, ¥4.26, 信心度: 81.1%
sh601002: 81.5分, ¥5.74, 信心度: 81.5%
sh600877: 80.4分, ¥13.96, 信心度: 80.4%
sh603937: 82.0分, ¥11.11, 信心度: 82.0%
sh601117: 81.9分, ¥8.18, 信心度: 81.9%
sh600801: 78.5分, ¥15.95, 信心度: 78.5%
sh603936: 79.7分, ¥10.76, 信心度: 79.7%
sh600338: 72.9分, ¥12.06, 信心度: 72.9%
sh600262: 81.1分, ¥24.36, 信心度: 81.1%
sh603225: 82.0分, ¥12.72, 信心度: 82.0%
