group,stock_code,t0_date,buy_price,fine_score,status,entry_price,entry_day,stop_loss,tp1,tp2,median,upper,lower,exit_price,exit_reason,trigger_signal,pnl_pct,mfe,mae,hold_days,month,future_mfe_raw,hold_return_raw
operable_filtered,sh688788,2025-08-15 00:00:00,58.05714285714286,0.528518277987332,traded,53.25,5.0,48.99,55.5293700756538,56.82976939919499,52.92857142857142,55.5293700756538,50.327772781489045,51.57857142857142,dynamic_stop,D4,-0.03138832997987939,0.01006036217303821,-0.08772635814889322,2.0,2025-08,0.186953846153846,-0.3080708661417323
operable_filtered,sz300885,2025-08-22 00:00:00,27.522353927252805,0.5825841651525412,traded,23.403972705529828,4.0,25.559717979644073,28.870281845373356,29.454498998149113,27.701847539821845,28.870281845373356,26.533413234270334,23.43388830762467,dynamic_stop,D4,0.0012782275244993535,0.026416702172986934,-0.021729867916489013,1.0,2025-08,0.0665707088880891,-0.1007246376811594
operable_filtered,sh603389,2025-08-26 00:00:00,28.65,0.6694149006574723,traded,24.82,6.0,23.1892042487738,26.034070409759746,26.536105614639617,25.03,26.034070409759746,24.025929590240256,23.38,dynamic_stop,D4,-0.058017727639000816,0.02256244963738915,-0.05801772763900086,1.0,2025-08,0.2224257969952363,0.1609075043630017
operable_filtered,sh600749,2025-08-27 00:00:00,24.7,0.545040596511945,traded,24.2,3.0,22.60663388727745,26.150926970575934,26.776390455863904,24.9,26.150926970575934,23.649073029424063,26.150926970575934,initial_tp,,0.0806168169659478,0.10206611570247945,-0.024380165289256194,1.0,2025-08,0.1051170170567235,-0.240485829959514
operable_filtered,sh688110,2025-08-28 00:00:00,117.0,0.7860177597149788,traded,91.86,5.0,85.60279067616504,103.49484144936453,106.6522621740468,97.18,103.49484144936453,90.86515855063548,103.49484144936453,initial_tp,,0.12665840898502645,0.24080121924667977,-0.043435662965382045,2.0,2025-08,0.1525423728813559,-0.1837606837606837
operable_filtered,sh688585,2025-08-28 00:00:00,84.91,0.7048409264398636,traded,88.0,2.0,80.96000000000001,92.9867893757828,96.1801840636742,86.6,92.9867893757828,80.21321062421718,80.96000000000001,initial_stop,,-0.07999999999999996,0.16068181818181818,-0.08090909090909096,1.0,2025-08,0.5078187421527223,0.0586503356495113
operable_filtered,bj920247,2025-08-29 00:00:00,26.258938032663472,0.7461927224363434,traded,28.10792545965556,2.0,25.859291422883118,29.244826096523926,30.38538463227853,26.96370902501472,29.244826096523926,24.68259195350551,25.859291422883118,initial_stop,,-0.07999999999999996,0.008849557522124,-0.1179941002949852,1.0,2025-08,0.1992619926199261,-0.0524155352068204
operable_filtered,sh688108,2025-08-29 00:00:00,32.6,0.5020044596710876,traded,34.0,5.0,31.28,35.01119892908333,36.16679839362499,32.7,35.01119892908333,30.388801070916678,33.1,dynamic_stop,D4,-0.026470588235294024,0.07499999999999991,-0.12911764705882356,1.0,2025-08,0.191322687556493,-0.13159509202454
operable_filtered,sh603367,2025-09-03 00:00:00,27.50908294428035,0.6570126815827929,traded,20.937849531816088,6.0,24.98190710133756,27.08648502398127,27.457881127977217,26.34369281598937,27.08648502398127,25.600900607997474,21.554820776205432,dynamic_stop,D4,0.02946679139382602,0.07015902712815707,-0.010757717492984244,1.0,2025-09,0.0494423791821561,-0.2691066098498063
operable_filtered,sh688098,2025-09-05 00:00:00,11.79,0.6294657080674789,traded,11.58,4.0,10.82132662373493,13.230185477962767,13.65527821694415,12.38,13.230185477962767,11.529814522037235,11.72,dynamic_stop,D4,0.012089810017271274,0.06390328151986185,-0.018998272884283303,3.0,2025-09,0.054421768707483,-0.111111111111111
