trade_idx,stock_code,t0_date,entry_price,day_idx,date,code,type,severity,day_high,day_low,day_close,current_stop,pnl_at_signal,level
466,bj920299,2025-07-08 00:00:00,22.54026282644211,2,2025-07-15,D4,danger,exit,22.043781266388322,21.08060703988397,21.408284869519466,20.737041800326743,-0.05022026431718063,
467,sz300591,2025-07-08 00:00:00,11.37,6,2025-07-22,S1,strength,,13.31,11.9,13.0,10.4604,0.14335971855760787,strong
467,sz300591,2025-07-08 00:00:00,11.37,8,2025-07-24,D5,danger,reduce,11.94,11.35,11.56,11.35480624179935,0.01671064204045747,
468,bj920641,2025-07-08 00:00:00,18.3,1,2025-07-14,D4,danger,exit,18.5,17.7,17.93,17.143283096805394,-0.020218579234972722,
469,bj920770,2025-07-10 00:00:00,22.0,1,2025-07-14,D4,danger,exit,22.5,21.58,22.18,20.24,0.008181818181818068,
470,sz300996,2025-07-11 00:00:00,14.61590389016018,3,2025-07-18,D4,danger,exit,15.752222948676037,14.19688623733246,14.402844066688461,13.589255362728826,-0.014577259475218374,
472,sz300066,2025-07-14 00:00:00,6.256434634974533,1,2025-07-16,D4,danger,exit,6.345670628183362,5.86974533106961,5.899490662139219,5.869317224025337,-0.05705229793977806,
474,sz300204,2025-07-14 00:00:00,45.69,5,2025-07-25,D5,danger,reduce,47.44,43.65,44.7,42.0348,-0.02166776099803014,
475,sz002623,2025-07-14 00:00:00,26.395833791964776,1,2025-07-17,D4,danger,exit,27.090203632361035,24.283384700055034,24.958194826637314,24.2841670886076,-0.05446461652463874,
477,sz300066,2025-07-15 00:00:00,6.256434634974533,8,2025-07-29,D5,danger,reduce,6.454736842105263,6.20685908319185,6.325840407470289,5.766216215774644,0.01109350237717921,
478,bj920564,2025-07-15 00:00:00,18.69201893389868,1,2025-07-18,D4,danger,exit,18.891666666169964,18.04316380401702,18.04316380401702,17.196657419186785,-0.03471295060080093,
479,sz300591,2025-07-16 00:00:00,11.65,1,2025-07-25,D4,danger,exit,11.65,11.02,11.17,10.718,-0.0412017167381975,
480,sh600604,2025-07-16 00:00:00,6.75,1,2025-07-18,D4,danger,exit,7.2,6.34,6.42,6.264076036877323,-0.04888888888888887,
481,sz300204,2025-07-16 00:00:00,45.69,5,2025-07-25,D5,danger,reduce,47.44,43.65,44.7,42.0348,-0.02166776099803014,
482,sz301176,2025-07-17 00:00:00,31.76,2,2025-07-25,D4,danger,exit,32.3,30.88,30.99,29.219200000000004,-0.024244332493702836,
483,sh603590,2025-07-17 00:00:00,54.0,5,2025-07-25,D5,danger,reduce,58.5,56.0,57.59,49.68,0.06648148148148159,
