signal_idx,stock_code,t0_date,zone_tag,dd_tier,position_ratio,trend_tag,golden_trend_t0,status,target_entry_price,actual_entry_price,entry_day_idx,tp_price,sl_price,exit_price,exit_day_idx,exit_reason,pnl
2036,sz300329,2025-08-07,high_trap,5~10%,0.9574,bull_aligned,6.7094,high_trap_skip,,,,,,,,,
2037,sz300322,2025-08-07,high_trap,15~20%,0.9294,bull_aligned,13.5741,high_trap_skip,,,,,,,,,
2038,sz301357,2025-08-07,high_trap,>20%,0.9458,bull_aligned,55.5085,high_trap_skip,,,,,,,,,
2039,sz300703,2025-08-07,main_wave,0~3%,0.6774,neutral,18.4519,observe_expire,22.381877,,,,,,,observe_expire,
2040,sh688039,2025-08-07,high_trap,15~20%,0.9258,bull_aligned,29.0259,high_trap_skip,,,,,,,,,
2041,sz300885,2025-08-07,high_trap,>20%,0.9094,bull_aligned,12.1216,high_trap_skip,,,,,,,,,
2042,sz300731,2025-08-07,high_trap,5~10%,0.96,bull_aligned,17.6168,high_trap_skip,,,,,,,,,
2043,sz301161,2025-08-07,high_zone,5~10%,0.7338,bull_aligned,21.1726,observe_expire,30.775344999999998,,,,,,,observe_expire,
2044,bj920706,2025-08-08,main_wave,15~20%,0.5256,neutral,16.4348,observe_expire,22.18806,,,,,,,observe_expire,
2045,bj920247,2025-08-08,high_trap,0~3%,1.0,bull_aligned,14.3713,high_trap_skip,,,,,,,,,
2046,bj920942,2025-08-08,main_wave,>20%,0.5464,bull_aligned,24.2842,observe_expire,44.91,,,,,,,observe_expire,
2047,sh688425,2025-08-08,main_wave,10~15%,0.4592,bull_aligned,4.5251,observe_expire,5.29416,,,,,,,observe_expire,
2048,bj920879,2025-08-08,main_wave,10~15%,0.499,neutral,14.8362,observe_expire,21.155025600000002,,,,,,,observe_expire,
2049,bj920438,2025-08-08,high_trap,0~3%,0.8792,bull_aligned,17.2192,high_trap_skip,,,,,,,,,
2050,bj920174,2025-08-08,main_wave,15~20%,0.4648,neutral,41.6039,observe_expire,53.469,,,,,,,observe_expire,
2051,sz300732,2025-08-08,high_zone,>20%,0.7147,bull_aligned,6.4727,simulated,10.069999999999999,10.069999999999999,7.0,11.675157999999998,9.000566,9.000566,16.0,sl,-0.1062
